Source,target
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,17
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,25
8,26
8,27
8,28
8,29
8,30
8,31
8,32
8,33
8,34
8,35
8,36
8,37
8,38
8,39
9,8
9,10
9,11
9,12
9,13
9,14
9,15
9,16
9,17
9,18
9,19
9,20
9,21
9,22
9,23
9,24
9,25
9,26
9,27
9,28
9,29
9,30
9,31
9,32
9,33
9,34
9,35
9,36
9,37
9,38
9,39
10,8
10,9
10,12
10,13
10,14
10,15
10,24
11,8
11,9
11,12
11,13
11,14
11,15
11,24
11,25
12,8
12,9
12,10
12,11
12,13
12,14
12,15
12,16
12,17
12,18
12,19
12,20
12,21
12,22
12,23
12,24
12,25
12,26
12,27
12,28
12,29
12,30
12,31
12,32
12,33
12,34
12,35
12,36
12,37
12,38
12,39
13,8
13,9
13,10
13,11
13,12
13,14
13,15
13,16
13,17
13,18
13,19
13,20
13,21
13,22
13,23
13,24
13,25
13,26
13,27
13,28
13,29
13,30
13,31
13,32
13,33
13,34
13,35
13,36
13,37
13,38
13,39
14,8
14,9
14,10
14,11
14,12
14,13
14,15
14,16
14,17
14,18
14,19
14,20
14,21
14,22
14,23
14,24
14,25
14,26
14,27
14,28
14,29
14,30
14,31
14,32
14,33
14,34
14,35
14,36
14,37
14,38
14,39
15,8
15,9
15,10
15,11
15,12
15,13
15,14
15,16
15,17
15,18
15,19
15,20
15,21
15,22
15,23
15,24
15,25
15,26
15,27
15,28
15,29
15,30
15,31
15,32
15,33
15,34
15,35
15,36
15,37
15,38
15,39
16,8
16,9
16,12
16,13
16,14
16,15
16,25
16,30
17,8
17,9
17,12
17,13
17,14
17,15
17,25
18,8
18,9
18,12
18,13
18,14
18,15
18,25
18,26
19,8
19,9
19,12
19,13
19,14
19,15
19,25
19,26
20,8
20,9
20,12
20,13
20,14
20,15
20,26
20,30
21,8
21,9
21,12
21,13
21,14
21,15
21,26
22,8
22,9
22,12
22,13
22,14
22,15
22,26
23,8
23,9
23,12
23,13
23,14
23,15
23,26
24,8
24,9
24,10
24,11
24,12
24,13
24,14
24,15
24,26
24,30
25,8
25,9
25,11
25,12
25,13
25,14
25,15
25,16
25,17
25,18
25,19
25,26
25,27
26,8
26,9
26,12
26,13
26,14
26,15
26,18
26,19
26,20
26,21
26,22
26,23
26,24
26,25
26,27
27,8
27,9
27,12
27,13
27,14
27,15
27,25
27,26
27,28
27,29
27,30
27,31
27,32
28,8
28,9
28,12
28,13
28,14
28,15
28,27
28,30
28,32
28,33
28,34
28,35
28,36
28,37
28,38
28,39
29,8
29,9
29,12
29,13
29,14
29,15
29,27
29,38
29,39
30,8
30,9
30,12
30,13
30,14
30,15
30,16
30,20
30,24
30,27
30,28
30,32
30,36
31,8
31,9
31,12
31,13
31,14
31,15
31,27
32,8
32,9
32,12
32,13
32,14
32,15
32,27
32,28
32,30
33,8
33,9
33,12
33,13
33,14
33,15
33,28
34,8
34,9
34,12
34,13
34,14
34,15
34,28
35,8
35,9
35,12
35,13
35,14
35,15
35,28
36,8
36,9
36,12
36,13
36,14
36,15
36,28
36,30
37,8
37,9
37,12
37,13
37,14
37,15
37,28
38,8
38,9
38,12
38,13
38,14
38,15
38,28
38,29
39,8
39,9
39,12
39,13
39,14
39,15
39,28
39,29
