Source,target
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,17
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,25
8,26
8,27
8,28
8,29
8,30
8,31
8,32
8,33
8,34
8,35
8,36
8,37
8,38
8,39
9,8
9,10
9,11
9,12
9,13
9,14
9,15
9,17
9,19
9,20
9,21
9,23
9,25
9,27
9,28
9,29
9,31
9,32
9,33
9,34
9,35
9,36
9,38
9,39
10,8
10,9
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,19
10,20
10,21
10,22
10,23
10,24
10,25
10,26
10,27
10,28
10,29
10,30
10,31
10,32
10,33
10,34
10,35
10,36
10,37
10,38
10,39
11,8
11,9
11,10
11,12
11,13
11,14
11,15
11,16
11,17
11,18
11,19
11,20
11,21
11,22
11,23
11,24
11,25
11,26
11,27
11,28
11,29
11,30
11,31
11,32
11,33
11,34
11,35
11,36
11,37
11,38
11,39
12,8
12,9
12,10
12,11
12,13
12,14
12,15
12,16
12,17
12,18
12,19
12,20
12,21
12,22
12,23
12,24
12,25
12,26
12,27
12,28
12,29
12,30
12,31
12,32
12,33
12,34
12,35
12,36
12,37
12,38
12,39
13,8
13,9
13,10
13,11
13,12
13,14
13,15
13,16
13,17
13,18
13,19
13,20
13,21
13,22
13,23
13,24
13,25
13,26
13,27
13,28
13,29
13,30
13,31
13,32
13,33
13,34
13,35
13,36
13,37
13,38
13,39
14,8
14,9
14,10
14,11
14,12
14,13
14,15
14,16
14,17
14,18
14,19
14,20
14,21
14,22
14,23
14,24
14,25
14,26
14,27
14,28
14,29
14,30
14,31
14,32
14,33
14,34
14,35
14,36
14,37
14,38
14,39
15,8
15,9
15,10
15,11
15,12
15,13
15,14
15,16
15,17
15,18
15,19
15,20
15,21
15,22
15,23
15,24
15,25
15,26
15,27
15,28
15,29
15,30
15,31
15,32
15,33
15,34
15,35
15,36
15,37
15,38
15,39
16,8
16,10
16,11
16,12
16,13
16,14
16,15
16,17
16,19
16,21
16,23
16,24
16,25
16,27
16,29
16,30
16,34
16,35
16,36
16,38
16,39
17,8
17,9
17,10
17,11
17,12
17,13
17,14
17,15
17,16
17,20
17,24
17,27
17,28
17,32
17,34
17,35
17,36
17,38
17,39
18,8
18,10
18,11
18,12
18,13
18,14
18,15
18,27
18,34
18,35
18,36
18,38
18,39
19,8
19,9
19,10
19,11
19,12
19,13
19,14
19,15
19,16
19,20
19,24
19,26
19,27
19,28
19,29
19,31
19,32
19,33
19,34
19,35
19,36
19,37
19,38
19,39
20,8
20,9
20,10
20,11
20,12
20,13
20,14
20,15
20,17
20,19
20,21
20,23
20,25
20,27
20,29
20,30
20,34
20,35
20,36
20,38
20,39
21,8
21,9
21,10
21,11
21,12
21,13
21,14
21,15
21,16
21,20
21,24
21,27
21,28
21,32
21,34
21,35
21,36
21,38
21,39
22,8
22,10
22,11
22,12
22,13
22,14
22,15
22,27
22,34
22,35
22,36
22,38
22,39
23,8
23,9
23,10
23,11
23,12
23,13
23,14
23,15
23,16
23,20
23,24
23,26
23,27
23,28
23,29
23,31
23,32
23,33
23,34
23,35
23,36
23,37
23,38
23,39
24,8
24,10
24,11
24,12
24,13
24,14
24,15
24,16
24,17
24,19
24,21
24,23
24,25
24,27
24,28
24,29
24,30
24,31
24,34
24,35
24,36
24,38
24,39
25,8
25,9
25,10
25,11
25,12
25,13
25,14
25,15
25,16
25,20
25,24
25,27
25,28
25,32
25,34
25,35
25,36
25,38
25,39
26,8
26,10
26,11
26,12
26,13
26,14
26,15
26,19
26,23
26,27
26,31
26,34
26,35
26,36
26,38
26,39
27,8
27,9
27,10
27,11
27,12
27,13
27,14
27,15
27,16
27,17
27,18
27,19
27,20
27,21
27,22
27,23
27,24
27,25
27,26
27,28
27,29
27,30
27,31
27,32
27,33
27,34
27,35
27,36
27,37
27,38
27,39
28,8
28,9
28,10
28,11
28,12
28,13
28,14
28,15
28,17
28,19
28,21
28,23
28,24
28,25
