Source,target
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,17
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,25
8,26
8,27
8,28
8,29
8,30
8,31
8,32
8,33
8,34
8,35
8,36
8,37
8,38
8,39
9,8
9,10
9,11
9,12
9,13
9,14
9,15
9,16
9,17
9,18
9,19
9,20
9,21
9,22
9,23
9,24
9,25
9,26
9,27
9,28
9,29
9,30
9,31
9,32
9,33
9,34
9,35
9,36
9,37
9,38
9,39
10,8
10,9
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,19
10,20
10,21
10,22
10,23
10,24
10,25
10,26
10,27
10,28
10,29
10,30
10,31
10,32
10,33
10,34
10,35
10,36
10,37
10,38
10,39
11,8
11,9
11,10
11,12
11,13
11,14
11,15
11,16
11,17
11,18
11,19
11,20
11,21
11,22
11,23
11,24
11,25
11,26
11,27
11,28
11,29
11,30
11,31
11,32
11,33
11,34
11,35
11,36
11,37
11,38
11,39
12,8
12,9
12,10
12,11
12,20
12,21
12,22
12,23
12,24
12,29
12,30
12,32
12,35
13,8
13,9
13,10
13,11
13,14
13,16
13,17
13,20
13,21
13,22
13,23
13,24
13,25
13,27
13,29
13,32
13,34
13,35
14,8
14,9
14,10
14,11
14,13
14,17
14,20
14,21
14,22
14,23
14,24
14,25
14,29
14,32
14,33
14,35
15,8
15,9
15,10
15,11
15,16
15,17
15,20
15,21
15,22
15,23
15,24
15,25
15,27
15,29
15,32
15,34
15,35
16,8
16,9
16,10
16,11
16,13
16,15
16,17
16,18
16,19
16,20
16,21
16,22
16,23
16,24
16,25
16,27
16,29
16,30
16,31
16,32
16,33
16,34
16,35
16,36
16,37
16,39
17,8
17,9
17,10
17,11
17,13
17,14
17,15
17,16
17,18
17,19
17,20
17,21
17,22
17,23
17,24
17,25
17,27
17,28
17,29
17,30
17,31
17,32
17,33
17,34
17,35
17,36
17,37
17,39
18,8
18,9
18,10
18,11
18,16
18,17
18,20
18,21
18,22
18,23
18,24
18,25
18,27
18,29
18,32
18,34
18,35
18,37
19,8
19,9
19,10
19,11
19,16
19,17
19,20
19,21
19,22
19,23
19,24
19,25
19,27
19,29
19,32
19,34
19,35
20,8
20,9
20,10
20,11
20,12
20,13
20,14
20,15
20,16
20,17
20,18
20,19
20,21
20,22
20,23
20,24
20,25
20,26
20,27
20,28
20,29
20,30
20,31
20,32
20,33
20,34
20,35
20,36
20,37
20,38
20,39
21,8
21,9
21,10
21,11
21,12
21,13
21,14
21,15
21,16
21,17
21,18
21,19
21,20
21,22
21,23
21,24
21,25
21,26
21,27
21,28
21,29
21,30
21,31
21,32
21,33
21,34
21,35
21,36
21,37
21,38
21,39
22,8
22,9
22,10
22,11
22,12
22,13
22,14
22,15
22,16
22,17
22,18
22,19
22,20
22,21
22,23
22,24
22,25
22,26
22,27
22,28
22,29
22,30
22,31
22,32
22,33
22,34
22,35
22,36
22,37
22,38
22,39
23,8
23,9
23,10
23,11
23,12
23,13
23,14
23,15
23,16
23,17
23,18
23,19
23,20
23,21
23,22
23,24
23,25
23,26
23,27
23,28
23,29
23,30
23,31
23,32
23,33
23,34
23,35
23,36
23,37
23,38
23,39
24,8
24,9
24,10
24,11
24,12
24,13
24,14
24,15
24,16
24,17
24,18
24,19
24,20
24,21
24,22
24,23
24,25
24,26
24,27
24,28
24,29
24,30
24,31
24,32
24,33
24,34
24,35
24,36
24,37
24,38
24,39
25,8
25,9
25,10
25,11
25,13
25,14
25,15
25,16
25,17
25,18
25,19
25,20
25,21
25,22
25,23
25,24
25,27
25,28
25,29
25,30
25,31
25,32
25,33
25,34
25,35
25,36
25,37
25,39
26,8
26,9
26,10
26,11
26,20
26,21
26,22
26,23
26,24
26,29
26,32
26,33
26,35
27,8
27,9
27,10
27,11
27,13
27,15
27,16
27,17
27,18
27,19
27,20
27,21
27,22
27,23
27,24
27,25
27,29
27,30
27,31
27,32
27,33
27,34
27,35
27,37
27,39
