Source,Target
1,8
1,9
1,16
1,17
1,24
1,25
1,32
1,33
2,10
2,11
2,18
2,19
2,26
2,27
2,34
2,35
5,12
5,13
5,20
5,21
5,28
5,29
5,36
5,37
6,14
6,15
6,22
6,23
6,30
6,31
6,38
6,39
8,1
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,17
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,25
8,26
8,27
8,28
8,29
8,30
8,31
8,32
8,33
8,34
8,35
8,36
8,37
8,38
8,39
8,40
8,41
8,42
8,43
8,44
8,45
8,46
8,47
8,48
8,49
8,50
8,51
8,52
8,53
8,54
8,55
8,56
8,57
8,58
8,59
8,60
8,61
8,62
8,63
8,64
8,65
8,66
8,67
8,68
8,69
8,70
8,71
9,1
9,8
9,10
9,11
9,12
9,13
9,14
9,16
9,18
9,19
9,24
9,25
9,26
9,31
9,32
9,33
9,34
9,37
9,38
9,39
9,40
9,42
9,43
9,44
9,45
9,46
9,48
9,50
9,51
9,52
9,53
9,54
9,56
9,57
9,58
9,59
9,60
9,61
9,62
9,63
9,64
9,69
9,70
10,2
10,8
10,9
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,19
10,20
10,21
10,22
10,23
10,24
10,25
10,26
10,27
10,28
10,29
10,30
10,31
10,32
10,33
10,34
10,35
10,36
10,37
10,38
10,39
10,40
10,41
10,42
10,43
10,44
10,45
10,46
10,47
10,48
10,49
10,50
10,51
10,52
10,53
10,54
10,55
10,56
10,57
10,58
10,59
10,60
10,61
10,62
10,63
10,64
10,65
10,66
10,67
10,68
10,69
10,70
10,71
11,2
11,8
11,9
11,10
11,12
11,13
11,14
11,15
11,16
11,18
11,21
11,23
11,24
11,25
11,26
11,28
11,29
11,31
11,34
11,35
11,37
11,42
11,43
11,46
11,47
11,50
11,51
11,52
11,53
11,54
11,55
11,56
11,57
11,58
11,59
11,60
11,61
11,62
11,63
11,64
11,65
11,66
11,67
11,69
12,5
12,8
12,9
12,10
12,11
12,13
12,14
12,15
12,16
12,17
12,18
12,19
12,20
12,21
12,22
12,23
12,24
12,25
12,26
12,27
12,28
12,29
12,30
12,31
12,32
12,33
12,34
12,35
12,36
12,37
12,38
12,39
12,40
12,41
12,42
12,43
12,44
12,45
12,46
12,47
12,48
12,49
12,50
12,51
12,52
12,53
12,54
12,55
12,56
12,57
12,58
12,59
12,60
12,61
12,62
12,63
12,64
12,65
12,66
12,67
12,68
12,69
12,70
12,71
13,5
13,8
13,9
13,10
13,11
13,12
13,14
13,15
13,17
13,18
13,23
13,24
13,29
13,31
13,34
13,35
13,37
13,43
13,49
13,50
13,51
13,53
13,54
13,55
13,57
13,58
13,59
13,60
13,61
13,62
13,63
13,67
13,69
13,71
14,6
14,8
14,9
14,10
14,11
14,12
14,13
14,17
14,18
14,19
14,21
14,24
14,25
14,26
14,27
14,29
14,33
14,35
14,36
14,37
14,38
14,39
14,40
14,42
14,43
14,44
14,45
14,47
14,48
14,49
14,50
14,51
14,53
14,54
14,55
14,56
14,57
14,58
14,59
14,60
14,61
14,62
14,63
14,66
14,67
14,69
14,71
15,6
15,8
15,10
15,11
15,12
15,13
15,17
15,18
15,19
15,23
15,24
15,25
15,26
15,27
15,30
15,31
15,32
15,33
15,34
15,35
15,36
15,38
15,39
15,42
15,43
15,44
15,46
15,51
15,53
15,57
15,58
15,59
15,60
15,61
15,62
15,63
15,64
15,67
15,69
15,71
16,1
16,8
16,9
16,10
16,11
16,12
16,17
16,18
16,19
16,21
16,24
16,25
16,26
16,27
16,29
16,30
16,33
16,35
16,39
16,40
16,41
16,42
16,43
16,47
16,49
16,50
16,51
16,55
16,56
16,57
16,58
16,59
16,60
16,61
16,62
16,63
16,64
16,65
16,66
16,69
16,71
17,1
