Source,target
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,17
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,25
8,26
8,27
8,28
8,29
8,30
8,31
8,32
8,33
8,34
8,35
8,36
8,37
8,38
8,39
9,8
9,10
9,11
9,12
9,13
9,14
9,16
9,18
9,19
9,24
9,25
9,26
9,31
9,32
9,33
9,34
9,37
9,38
9,39
10,8
10,9
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,19
10,20
10,21
10,22
10,23
10,24
10,25
10,26
10,27
10,28
10,29
10,30
10,31
10,32
10,33
10,34
10,35
10,36
10,37
10,38
10,39
11,8
11,9
11,10
11,12
11,13
11,14
11,15
11,16
11,18
11,21
11,23
11,24
11,25
11,26
11,28
11,29
11,31
11,34
11,35
11,37
12,8
12,9
12,10
12,11
12,13
12,14
12,15
12,16
12,17
12,18
12,19
12,20
12,21
12,22
12,23
12,24
12,25
12,26
12,27
12,28
12,29
12,30
12,31
12,32
12,33
12,34
12,35
12,36
12,37
12,38
12,39
13,8
13,9
13,10
13,11
13,12
13,14
13,15
13,17
13,18
13,23
13,24
13,29
13,31
13,34
13,35
13,37
14,8
14,9
14,10
14,11
14,12
14,13
14,17
14,18
14,19
14,21
14,24
14,25
14,26
14,27
14,29
14,33
14,35
14,36
14,37
14,38
14,39
15,8
15,10
15,11
15,12
15,13
15,17
15,18
15,19
15,23
15,24
15,25
15,26
15,27
15,30
15,31
15,32
15,33
15,34
15,35
15,36
15,38
15,39
16,8
16,9
16,10
16,11
16,12
16,17
16,18
16,19
16,21
16,24
16,25
16,26
16,27
16,29
16,30
16,33
16,35
16,39
17,8
17,10
17,12
17,13
17,14
17,15
17,16
17,24
17,26
17,28
17,29
17,31
17,32
17,33
17,34
17,37
17,38
17,39
18,8
18,9
18,10
18,11
18,12
18,13
18,14
18,15
18,16
18,19
18,20
18,21
18,22
18,23
18,24
18,25
18,26
18,27
18,28
18,29
18,33
18,34
18,35
18,36
18,37
18,38
18,39
19,8
19,9
19,10
19,12
19,14
19,15
19,16
19,18
19,23
19,24
19,25
19,29
19,31
19,37
20,8
20,10
20,12
20,18
20,22
20,23
20,24
20,26
20,28
20,29
20,30
20,31
20,34
20,35
20,36
20,37
20,39
21,8
21,10
21,11
21,12
21,14
21,16
21,18
21,24
21,26
21,28
21,34
22,8
22,10
22,12
22,18
22,20
22,24
22,26
22,27
22,29
22,37
22,38
22,39
23,8
23,10
23,11
23,12
23,13
23,15
23,18
23,19
23,20
23,24
23,25
23,26
23,27
23,28
23,29
23,30
23,31
23,32
23,33
23,34
23,36
23,38
23,39
24,8
24,9
24,10
24,11
24,12
24,13
24,14
24,15
24,16
24,17
24,18
24,19
24,20
24,21
24,22
24,23
24,25
24,26
24,27
24,28
24,29
24,30
24,31
24,32
24,33
24,34
24,35
24,36
24,37
24,38
24,39
25,8
25,9
25,10
25,11
25,12
25,14
25,15
25,16
25,18
25,19
25,23
25,24
25,27
25,28
25,29
25,31
25,33
25,35
25,37
25,39
26,8
26,9
26,10
26,11
26,12
26,14
26,15
26,16
26,17
26,18
26,20
26,21
26,22
26,23
26,24
26,27
26,28
26,29
26,31
26,34
26,35
26,36
26,37
26,38
26,39
27,8
27,10
27,12
27,14
27,15
27,16
27,18
27,22
27,23
27,24
27,25
27,26
27,31
27,33
28,8
28,10
28,11
28,12
28,17
28,18
28,20
28,21
28,23
28,24
28,25
28,26
28,29
28,30
28,31
28,33
28,35
28,37
28,39
29,8
29,10
29,11
29,12
29,13
29,14
29,16
29,17
29,18
29,19
29,20
29,22
29,23
29,24
29,25
29,26
29,28
29,30
29,31
29,34
29,36
29,38
30,8
30,10
30,12
30,15
30,16
30,20
30,23
30,24
30,28
30,29
30,32
30,36
30,37
30,38
30,39
31,8
31,9
31,10
31,11
31,12
31,13
31,15
31,17
31,19
31,20
31,23
31,24
31,25
31,26
31,27
31,28
31,29
31,32
31,33
31,34
31,36
31,37
31,38
31,39
32,8
32,9
32,10
32,12
32,15
32,17
32,23
32,24
32,30
32,31
32,36
32,39
33,8
33,9
33,10
33,12
33,14
33,15
33,16
33,17
33,18
33,23
33,24
33,25
33,27
33,28
33,31
33,34
33,35
33,36
33,39
34,8
34,9
34,10
34,11
34,12
34,13
34,15
34,17
34,18
34,20
34,21
34,23
34,24
34,26
34,29
34,31
34,33
34,36
34,37
34,38
34,39
35,8
35,10
35,11
35,12
35,13
35,14
35,15
35,16
35,18
35,20
35,24
35,25
35,26
35,28
35,33
36,8
36,10
36,12
36,14
36,15
36,18
36,20
36,23
36,24
36,26
36,29
36,30
36,31
36,32
36,33
36,34
36,37
36,38
37,8
37,9
37,10
37,11
37,12
37,13
37,14
37,17
37,18
37,19
37,20
37,22
37,24
37,25
37,26
37,28
37,30
37,31
37,34
37,36
37,38
38,8
38,9
38,10
38,12
38,14
38,15
38,17
38,18
38,22
38,23
38,24
38,26
38,29
38,30
38,31
38,34
38,36
38,37
38,39
39,8
39,9
39,10
39,12
39,14
39,15
39,16
39,17
39,18
39,20
39,22
39,23
39,24
39,25
39,26
39,28
39,30
39,31
39,32
39,33
39,34
39,38
