Source,target
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,17
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,25
8,26
8,27
8,28
8,29
8,30
8,31
8,32
8,33
8,34
8,35
8,36
8,37
8,38
8,39
9,8
9,10
9,11
9,12
9,13
9,14
9,15
9,16
9,17
9,18
9,19
9,20
9,21
9,22
9,23
9,24
9,25
9,26
9,27
9,28
9,29
9,30
9,31
9,32
9,33
9,34
9,35
9,36
9,37
9,38
9,39
10,8
10,9
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,19
10,20
10,21
10,22
10,23
10,24
10,25
10,26
10,27
10,28
10,29
10,30
10,31
10,32
10,33
10,34
10,35
10,36
10,37
10,38
10,39
11,8
11,9
11,10
11,12
11,13
11,14
11,15
11,16
11,17
11,18
11,19
11,20
11,21
11,22
11,23
11,24
11,25
11,26
11,27
11,28
11,30
12,8
12,9
12,10
12,11
12,13
12,14
12,15
12,16
12,17
12,18
12,19
12,20
12,21
12,22
12,23
12,24
12,25
12,26
12,27
12,28
12,29
12,30
12,31
12,32
12,33
12,34
12,35
12,36
12,37
12,38
12,39
13,8
13,9
13,10
13,11
13,12
13,14
13,15
13,16
13,17
13,18
13,19
13,20
13,21
13,22
13,23
13,24
13,25
13,26
13,27
13,28
13,29
13,30
13,31
13,32
13,33
13,34
13,35
13,36
13,37
13,38
13,39
14,8
14,9
14,10
14,11
14,12
14,13
14,17
14,21
14,23
14,24
14,25
14,29
14,30
14,33
14,39
15,8
15,9
15,10
15,11
15,12
15,13
15,23
15,24
15,30
16,8
16,9
16,10
16,11
16,12
16,13
16,23
16,24
16,25
16,30
17,8
17,9
17,10
17,11
17,12
17,13
17,14
17,23
17,24
17,30
18,8
18,9
18,10
18,11
18,12
18,13
18,23
18,24
18,25
18,30
19,8
19,9
19,10
19,11
19,12
19,13
19,23
19,24
19,25
19,30
20,8
20,9
20,10
20,11
20,12
20,13
20,23
20,24
20,30
21,8
21,9
21,10
21,11
21,12
21,13
21,14
21,23
21,24
21,30
22,8
22,9
22,10
22,11
22,12
22,13
22,23
22,24
22,30
23,8
23,9
23,10
23,11
23,12
23,13
23,14
23,15
23,16
23,17
23,18
23,19
23,20
23,21
23,22
23,24
23,25
23,26
23,27
23,28
23,29
23,30
23,31
23,32
23,33
23,34
23,35
23,36
23,37
23,38
23,39
24,8
24,9
24,10
24,11
24,12
24,13
24,14
24,15
24,16
24,17
24,18
24,19
24,20
24,21
24,22
24,23
24,25
24,26
24,27
24,28
24,29
24,30
24,31
24,32
24,33
24,34
24,35
24,36
24,37
24,38
24,39
25,8
25,9
25,10
25,11
25,12
25,13
25,14
25,16
25,18
25,19
25,23
25,24
25,30
25,32
26,8
26,9
26,10
26,11
26,12
26,13
26,23
26,24
26,30
27,8
27,9
27,10
27,11
27,12
27,13
27,23
27,24
27,30
28,8
28,9
28,10
28,11
28,12
28,13
28,23
28,24
28,30
29,8
29,9
29,10
29,12
29,13
29,14
29,23
29,24
29,30
30,8
30,9
30,10
30,11
30,12
30,13
30,14
30,15
30,16
30,17
30,18
30,19
30,20
30,21
30,22
30,23
30,24
30,25
30,26
30,27
30,28
30,29
30,31
30,32
30,33
30,34
30,35
30,36
30,37
30,38
30,39
31,8
31,9
31,10
31,12
31,13
31,23
31,24
31,30
32,8
32,9
32,10
32,12
32,13
32,23
32,24
32,25
32,30
33,8
33,9
33,10
33,12
33,13
33,14
33,23
33,24
33,30
34,8
34,9
34,10
34,12
34,13
34,23
34,24
34,30
35,8
35,9
35,10
35,12
35,13
35,23
35,24
35,30
36,8
36,9
36,10
36,12
36,13
36,23
36,24
36,30
37,8
37,9
37,10
37,12
37,13
37,23
37,24
37,30
38,8
38,9
38,10
38,12
38,13
38,23
38,24
38,30
39,8
39,9
39,10
39,12
39,13
39,14
39,23
39,24
39,30
