Source,Target
1,8
1,8
1,8
1,8
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,16
1,16
1,16
1,16
1,16
1,16
1,16
1,16
1,16
1,16
1,17
1,17
1,17
1,17
1,17
1,17
1,17
1,17
1,17
1,17
1,24
1,33
1,33
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,11
2,11
2,11
2,11
2,11
2,11
2,11
2,11
2,18
2,18
2,18
2,18
2,18
2,18
2,18
2,18
5,12
5,12
5,12
5,12
5,12
5,12
5,12
5,12
5,12
5,12
5,13
5,13
5,13
5,13
5,13
5,13
5,13
5,13
5,13
6,14
6,14
6,14
6,14
6,14
6,14
6,14
6,14
6,14
6,14
6,23
6,23
6,23
6,23
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,39
8,9
8,9
8,9
8,10
8,10
8,10
8,10
8,11
8,11
8,12
8,13
8,14
8,14
8,15
8,15
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,17
8,17
8,17
8,17
8,17
8,17
8,17
8,17
8,17
8,17
8,18
8,18
8,19
8,19
8,20
8,21
8,22
8,23
8,23
8,24
8,25
8,26
8,27
8,27
8,28
8,29
8,30
8,30
8,30
8,31
8,31
8,32
8,33
8,34
8,35
8,35
8,36
8,37
8,38
8,39
8,39
8,40
8,41
8,42
8,43
8,43
8,44
8,45
8,46
8,47
8,47
8,48
8,49
8,50
8,50
8,50
8,50
8,51
8,51
8,51
8,51
8,52
8,53
8,54
8,55
8,55
8,56
8,56
8,57
8,57
8,57
8,58
8,58
8,58
8,58
8,58
8,58
8,58
8,58
8,58
8,58
8,59
8,59
8,59
8,59
8,59
8,59
8,59
8,59
8,60
8,60
8,60
8,61
8,62
8,63
8,63
8,64
8,65
8,66
8,67
8,67
8,68
8,69
8,70
8,71
9,1
9,8
9,8
9,8
9,8
9,8
9,8
9,8
9,10
9,10
9,10
9,11
9,11
9,12
9,12
9,12
9,13
9,13
9,13
9,14
9,14
9,14
9,15
9,15
9,15
9,16
9,16
9,16
9,17
9,17
9,17
9,18
9,18
9,18
9,19
9,19
9,19
9,20
9,20
9,20
9,21
9,21
9,21
9,22
9,22
9,22
9,23
9,24
9,24
9,24
9,25
9,25
9,25
9,26
9,26
9,26
9,27
9,27
9,27
9,28
9,28
9,28
9,29
9,29
9,29
9,30
9,30
9,30
9,31
9,31
9,31
9,32
9,32
9,32
9,33
9,33
9,33
9,34
9,34
9,34
9,35
9,35
9,35
9,36
9,36
9,36
9,37
9,37
9,37
9,38
9,38
9,38
9,39
9,39
9,39
9,40
9,40
9,40
9,41
9,41
9,41
9,42
9,42
9,42
9,43
9,43
9,43
9,44
9,44
9,44
9,45
9,45
9,45
9,46
9,46
9,46
9,47
9,47
9,47
9,48
9,48
9,48
9,49
9,49
9,49
9,50
9,50
9,50
9,51
9,51
9,51
9,52
9,52
9,52
9,53
9,53
9,53
9,54
9,54
9,54
9,55
9,55
9,55
9,56
9,56
9,56
9,57
9,57
9,57
9,58
9,58
9,58
9,59
9,59
9,59
9,60
9,60
9,60
9,61
9,61
9,61
9,62
9,62
9,62
9,63
9,63
9,63
9,64
9,64
9,64
9,65
9,65
9,65
9,66
9,66
9,66
9,67
9,67
9,67
9,68
9,68
9,68
9,69
9,69
9,69
9,70
9,70
9,70
9,71
10,2
10,8
10,8
10,8
10,8
10,8
10,8
10,8
10,8
10,8
10,9
10,11
10,23
11,8
11,9
11,15
11,23
12,5
12,23
12,29
12,30
12,31
12,32
12,34
12,35
12,36
12,37
12,38
12,39
12,41
12,47
13,50
13,51
13,55
13,59
13,62
13,64
13,67
14,6
14,8
14,9
14,71
16,1
16,8
16,8
16,8
16,8
16,8
16,8
16,8
16,8
16,8
16,8
17,1
17,8
17,8
17,8
17,8
17,8
17,8
17,8
17,8
17,8
17,8
18,8
18,8
18,8
18,8
23,8
23,8
23,10
23,12
23,12
23,13
23,16
23,17
23,18
23,19
23,20
23,20
23,21
23,22
23,24
23,26
23,28
23,29
23,30
23,32
23,34
23,36
23,37
23,38
23,40
23,40
23,41
23,41
23,42
23,42
23,43
23,43
23,44
23,46
23,48
23,48
23,49
23,50
23,50
23,52
23,53
23,53
23,54
23,54
23,56
23,60
23,61
23,62
23,63
23,64
23,64
23,65
23,66
23,67
23,68
23,68
23,69
23,70
23,70
24,8
24,9
24,11
24,23
30,6
30,8
30,8
30,8
30,12
30,24
31,8
31,12
33,8
35,12
39,8
40,8
46,23
46,78
49,8
50,8
50,8
50,8
50,8
50,8
50,8
50,8
50,8
50,8
50,8
50,74
51,8
51,8
51,8
51,8
51,8
51,8
51,8
51,8
51,8
51,74
52,8
52,8
53,8
53,8
56,8
56,8
56,8
56,8
57,8
57,8
57,8
58,8
58,8
58,8
58,8
58,8
58,8
58,8
58,8
58,8
58,8
58,74
58,74
59,8
59,8
59,8
59,8
59,8
59,8
59,8
59,8
59,8
59,8
59,74
59,74
60,8
60,8
60,8
60,8
60,8
60,8
60,8
60,8
60,8
60,77
62,8
62,78
64,23
73,40
73,40
73,49
73,56
73,56
73,57
73,57
73,57
73,57
73,57
73,57
73,57
74,50
74,50
74,50
74,50
74,50
74,50
74,50
74,50
74,50
74,50
74,51
74,51
74,51
74,51
74,51
74,51
74,51
74,51
74,51
74,51
74,58
74,58
74,58
74,58
74,58
74,58
74,58
74,58
74,58
74,58
74,59
74,59
74,59
74,59
74,59
74,59
74,59
74,59
74,59
74,59
77,52
77,52
77,52
77,53
77,53
77,53
77,60
77,60
77,60
77,60
77,60
77,60
77,60
77,60
77,60
77,60
78,46
78,46
78,46
78,46
78,46
78,46
78,46
78,46
78,46
78,46
78,62
78,62
78,62
78,62
78,62
78,62
78,62
78,62
78,62
78,62
78,63
