Source,target
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,17
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,25
8,26
8,27
8,28
8,29
8,30
8,31
8,32
8,33
8,34
8,35
8,36
8,37
8,38
8,39
9,8
9,10
9,11
9,12
9,13
9,14
9,15
9,16
9,19
9,30
9,34
10,8
10,9
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,19
10,20
10,21
10,22
10,23
10,24
10,25
10,26
10,27
10,28
10,29
10,30
10,31
10,32
10,33
10,34
10,35
10,36
10,37
10,38
10,39
11,8
11,9
11,10
11,12
11,13
11,14
11,15
11,16
11,17
11,18
11,19
11,20
11,21
11,22
11,23
11,24
11,25
11,26
11,27
11,28
11,29
11,30
11,31
11,32
11,33
11,34
11,35
11,36
11,37
11,38
11,39
12,8
12,9
12,10
12,11
12,13
12,14
12,15
12,16
12,17
12,18
12,19
12,20
12,21
12,22
12,23
12,24
12,25
12,26
12,27
12,28
12,29
12,30
12,31
12,32
12,33
12,34
12,35
12,36
12,37
12,38
12,39
13,8
13,9
13,10
13,11
13,12
13,14
13,15
13,16
13,17
13,18
13,19
13,20
13,21
13,22
13,23
13,24
13,25
13,26
13,27
13,28
13,29
13,30
13,31
13,32
13,33
13,34
13,35
13,36
13,37
13,38
13,39
14,8
14,9
14,10
14,11
14,12
14,13
14,15
14,16
14,17
14,18
14,19
14,20
14,21
14,22
14,23
14,24
14,25
14,26
14,27
14,28
14,29
14,30
14,31
14,32
14,33
14,34
14,35
14,36
14,37
14,38
14,39
15,8
15,9
15,10
15,11
15,12
15,13
15,14
15,16
15,17
15,18
15,19
15,20
15,21
15,22
15,23
15,24
15,25
15,26
15,27
15,28
15,29
15,30
15,31
15,32
15,33
15,34
15,35
15,36
15,37
15,38
15,39
16,8
16,9
16,10
16,11
16,12
16,13
16,14
16,15
16,17
16,18
16,19
16,20
16,21
16,22
16,23
16,24
16,25
16,26
16,27
16,28
16,29
16,30
16,31
16,32
16,33
16,34
16,35
16,36
16,37
16,38
16,39
17,8
17,10
17,11
17,12
17,13
17,14
17,15
17,16
17,18
17,19
17,28
17,30
17,34
18,8
18,10
18,11
18,12
18,13
18,14
18,15
18,16
18,17
18,19
18,20
18,21
18,30
18,34
19,8
19,9
19,10
19,11
19,12
19,13
19,14
19,15
19,16
19,17
19,18
19,20
19,21
19,22
19,23
19,24
19,25
19,26
19,27
19,28
19,29
19,30
19,31
19,32
19,33
19,34
19,35
19,36
19,37
19,38
19,39
20,8
20,10
20,11
20,12
20,13
20,14
20,15
20,16
20,18
20,19
20,24
20,25
20,30
20,34
21,8
21,10
21,11
21,12
21,13
21,14
21,15
21,16
21,18
21,19
21,26
21,27
21,30
21,34
21,36
22,8
22,10
22,11
22,12
22,13
22,14
22,15
22,16
22,19
22,28
22,29
22,30
22,34
22,38
23,8
23,10
23,11
23,12
23,13
23,14
23,15
23,16
23,19
23,30
23,31
23,34
24,8
24,10
24,11
24,12
24,13
24,14
24,15
24,16
24,19
24,20
24,30
24,32
24,33
24,34
25,8
25,10
25,11
25,12
25,13
25,14
25,15
25,16
25,19
25,20
25,30
25,34
25,35
26,8
26,10
26,11
26,12
26,13
26,14
26,15
26,16
26,19
26,21
26,30
26,34
26,36
26,37
27,8
27,10
27,11
27,12
27,13
27,14
27,15
27,16
27,19
27,21
27,30
27,34
27,38
27,39
28,8
28,10
28,11
28,12
28,13
28,14
28,15
28,16
28,17
28,19
28,22
28,30
28,34
29,8
29,10
29,11
29,12
29,13
29,14
29,15
29,16
29,19
29,22
29,30
29,34
30,8
30,9
30,10
30,11
30,12
30,13
30,14
30,15
30,16
30,17
30,18
30,19
30,20
30,21
30,22
30,23
30,24
30,25
30,26
30,27
30,28
30,29
30,31
30,32
30,33
30,34
30,35
30,36
30,37
30,38
30,39
31,8
31,10
31,11
31,12
31,13
31,14
31,15
31,16
31,19
31,23
31,30
31,34
32,8
32,10
32,11
32,12
32,13
32,14
32,15
32,16
32,19
32,24
32,30
32,34
33,8
33,10
33,11
33,12
33,13
33,14
33,15
33,16
33,19
33,24
33,30
33,34
34,8
34,9
34,10
34,11
34,12
34,13
34,14
34,15
34,16
34,17
34,18
34,19
34,20
34,21
34,22
34,23
34,24
34,25
34,26
34,27
34,28
34,29
34,30
34,31
34,32
34,33
34,35
34,36
34,37
34,38
34,39
35,8
35,10
35,11
35,12
35,13
35,14
35,15
35,16
35,19
35,25
35,30
35,34
36,8
36,10
36,11
36,12
36,13
36,14
36,15
36,16
36,19
36,21
36,26
36,30
36,34
37,8
37,10
37,11
37,12
37,13
37,14
37,15
37,16
37,19
37,26
37,30
37,34
38,8
38,10
38,11
38,12
38,13
38,14
38,15
38,16
38,19
38,22
38,27
38,30
38,34
39,8
39,10
39,11
39,12
39,13
39,14
39,15
39,16
39,19
39,27
39,30
39,34
