Source,Target
1,8
1,8
1,8
1,8
1,8
1,8
1,8
1,8
1,8
1,9
1,9
1,9
1,9
1,17
1,17
1,25
1,25
1,33
1,33
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,10
2,11
2,11
2,11
2,11
2,11
2,11
2,11
2,11
2,11
2,11
2,19
2,19
2,26
2,26
2,26
2,26
2,26
2,26
2,27
2,27
2,27
2,27
2,27
2,27
2,27
2,35
2,35
2,35
5,12
5,12
5,12
5,12
5,12
5,12
5,12
5,13
5,13
5,13
5,13
5,13
5,13
5,21
5,21
5,29
5,29
5,29
5,29
5,36
5,37
5,37
6,14
6,14
6,14
6,14
6,14
6,14
6,14
6,14
6,14
6,14
6,15
6,15
6,15
6,15
6,15
6,23
6,23
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,31
6,31
6,38
6,38
6,39
6,39
6,39
6,39
6,39
6,39
6,39
6,39
8,9
8,9
8,9
8,9
8,10
8,10
8,10
8,10
8,11
8,11
8,11
8,11
8,12
8,12
8,12
8,12
8,13
8,13
8,13
8,13
8,14
8,14
8,14
8,14
8,15
8,15
8,15
8,16
8,16
8,16
8,16
8,17
8,17
8,17
8,17
8,17
8,18
8,18
8,18
8,18
8,19
8,19
8,19
8,20
8,20
8,20
8,21
8,21
8,21
8,21
8,22
8,22
8,22
8,22
8,23
8,23
8,23
8,24
8,24
8,24
8,24
8,25
8,25
8,25
8,25
8,26
8,26
8,26
8,26
8,27
8,27
8,27
8,28
8,28
8,28
8,29
8,29
8,29
8,29
8,30
8,30
8,30
8,30
8,30
8,31
8,31
8,31
8,32
8,32
8,32
8,33
8,33
8,33
8,33
8,34
8,34
8,34
8,34
8,35
8,35
8,35
8,35
8,36
8,36
8,36
8,36
8,37
8,37
8,37
8,38
8,38
8,38
8,39
8,39
8,39
8,40
8,40
8,40
8,40
8,41
8,41
8,41
8,41
8,42
8,42
8,42
8,42
8,43
8,43
8,43
8,44
8,44
8,44
8,45
8,45
8,45
8,45
8,46
8,46
8,46
8,47
8,47
8,48
8,48
8,48
8,48
8,48
8,49
8,49
8,49
8,49
8,49
8,49
8,49
8,49
8,49
8,49
8,50
8,50
8,50
8,50
8,50
8,51
8,51
8,51
8,52
8,52
8,53
8,53
8,53
8,53
8,54
8,54
8,54
8,55
8,55
8,55
8,56
8,56
8,56
8,57
8,57
8,57
8,58
8,58
8,58
8,59
8,59
8,59
8,59
8,60
8,60
8,60
8,60
8,61
8,61
8,61
8,62
8,62
8,62
8,63
8,63
8,64
8,64
8,64
8,64
8,65
8,65
8,65
8,66
8,66
8,66
8,67
8,67
8,67
8,67
8,68
8,68
8,69
8,69
8,69
8,70
8,70
8,70
8,71
8,71
8,71
9,8
9,8
9,11
9,49
9,49
9,49
9,49
9,49
9,49
9,49
9,49
9,49
9,49
10,8
10,8
10,8
10,11
10,12
10,20
10,36
10,39
10,40
10,48
10,49
10,49
10,49
10,49
10,49
10,49
10,49
10,49
10,49
10,49
10,51
10,62
11,2
11,2
11,8
11,8
11,8
11,8
11,8
11,8
11,9
11,9
11,9
11,9
11,10
11,10
11,10
11,10
11,12
11,12
11,12
11,12
11,13
11,13
11,13
11,13
11,14
11,14
11,14
11,14
11,15
11,15
11,15
11,15
11,15
11,16
11,16
11,16
11,16
11,17
11,17
11,17
11,17
11,18
11,18
11,18
11,18
11,19
11,19
11,19
11,19
11,19
11,20
11,20
11,20
11,20
11,21
11,21
11,21
11,21
11,22
11,22
11,22
11,22
11,23
11,23
11,23
11,23
11,24
11,24
11,24
11,24
11,25
11,25
11,25
11,25
11,26
11,26
11,26
11,26
11,27
11,27
11,27
11,27
11,27
11,28
11,28
11,28
11,28
11,29
11,29
11,29
11,29
11,30
11,30
11,30
11,30
11,31
11,31
11,31
11,31
11,31
11,32
11,32
11,32
11,32
11,33
11,33
11,33
11,33
11,34
11,34
11,34
11,34
11,35
11,35
11,35
11,35
11,35
11,36
11,36
11,36
11,36
11,37
11,37
11,37
11,38
11,38
11,38
11,38
11,39
11,39
11,39
11,39
11,39
11,40
11,40
11,40
11,40
11,41
11,41
11,41
11,41
11,42
11,42
11,42
11,42
11,43
11,43
11,43
11,43
11,43
11,44
11,44
11,44
11,44
11,45
11,45
11,45
11,45
11,46
11,46
11,46
11,46
11,47
11,47
11,47
11,47
11,47
11,48
11,48
11,48
11,48
11,49
11,49
11,49
11,49
11,49
11,49
11,49
11,49
11,49
11,49
11,50
11,50
11,50
11,50
11,51
11,51
11,51
11,51
11,51
11,51
11,52
11,52
11,52
11,52
11,53
11,53
11,53
11,53
11,54
11,54
11,54
11,54
11,55
11,55
11,55
11,55
11,56
11,56
11,56
11,57
11,57
11,57
11,57
11,58
11,58
11,58
11,58
11,59
11,59
11,59
11,59
11,60
11,60
11,60
11,61
11,61
11,61
11,62
11,62
11,62
11,62
11,63
11,63
11,63
11,63
11,64
11,64
11,64
11,65
11,65
11,65
11,65
11,66
11,66
11,66
11,66
11,67
11,67
11,67
11,67
11,68
11,68
11,68
11,68
11,69
11,69
11,69
11,70
11,70
11,70
11,71
11,71
11,71
11,71
12,8
12,8
12,8
12,8
12,8
12,9
12,9
12,9
12,10
12,10
12,10
12,11
12,11
12,11
12,11
12,13
12,13
12,13
12,14
12,14
12,14
12,15
12,15
12,15
12,16
12,16
12,16
12,17
12,17
12,17
12,18
12,18
12,18
12,19
12,19
12,19
12,20
12,20
12,20
12,21
12,21
12,21
12,22
12,22
12,22
12,23
12,23
12,23
12,24
12,24
12,24
12,25
12,25
12,25
12,26
12,26
12,26
12,27
12,27
12,27
12,28
12,28
12,28
12,29
12,29
12,29
12,30
12,30
12,30
12,31
12,31
12,31
12,32
12,32
12,32
12,33
12,33
12,33
12,34
12,34
12,34
12,35
12,35
12,35
12,36
12,36
12,36
12,37
12,37
12,37
12,38
12,38
12,38
12,39
12,39
12,39
12,40
12,40
12,40
12,41
12,41
12,41
12,42
12,42
12,42
12,43
12,43
12,43
12,44
12,44
12,44
12,45
12,45
12,45
12,46
12,46
12,46
12,47
12,47
12,47
12,48
12,48
12,48
12,49
12,49
12,49
12,49
12,49
12,49
12,49
12,49
12,49
12,49
12,50
12,50
12,50
12,51
12,51
12,51
12,52
12,52
12,52
12,53
12,53
12,53
12,54
12,54
12,54
12,55
12,55
12,55
12,56
12,56
12,56
12,57
12,57
12,57
12,58
12,58
12,58
12,59
12,59
12,59
12,60
12,60
12,60
12,61
12,61
12,61
12,62
12,62
12,62
12,63
12,63
12,63
12,64
12,64
12,64
12,65
12,65
12,65
12,66
12,66
12,66
12,67
12,67
12,67
12,68
12,68
12,68
12,69
12,69
12,69
12,70
12,70
12,70
12,71
12,71
12,71
13,5
13,8
13,8
13,8
13,9
13,10
13,11
13,12
13,14
13,14
13,15
13,16
13,17
13,18
13,20
13,21
13,22
13,24
13,25
13,26
13,27
13,28
13,29
13,30
13,32
13,33
13,34
13,35
13,36
13,37
13,38
13,39
13,40
13,41
13,42
13,44
13,45
13,46
13,48
13,48
13,49
13,49
13,49
13,49
13,49
13,49
13,49
13,49
13,49
13,49
13,50
13,50
13,51
13,53
13,54
13,55
13,56
13,57
13,59
13,60
13,61
13,62
13,63
13,64
13,66
13,67
13,69
13,70
13,71
14,6
14,6
14,6
14,8
14,8
14,8
14,8
14,9
14,9
14,9
14,10
14,11
14,12
14,13
14,13
14,13
14,13
14,15
14,16
14,17
14,17
14,17
14,17
14,18
14,20
14,21
14,21
14,21
14,22
14,24
14,25
14,25
14,25
14,26
14,27
14,28
14,29
14,29
14,29
14,30
14,33
14,33
14,33
14,34
14,35
14,36
14,37
14,38
14,39
14,40
14,40
14,41
14,42
14,43
14,44
14,45
14,46
14,47
14,48
14,48
14,49
14,49
14,49
14,49
14,49
14,49
14,49
14,49
14,49
14,49
14,50
14,51
14,53
14,54
14,55
14,56
14,57
14,58
14,59
14,60
14,61
14,62
14,64
14,66
14,67
14,69
14,70
14,71
15,8
15,8
15,8
15,9
15,10
15,11
15,11
15,12
15,12
15,13
15,14
15,16
15,17
15,18
15,19
15,20
15,21
15,22
15,23
15,24
15,25
15,26
15,27
15,28
15,29
15,30
15,31
15,32
15,33
15,34
15,35
15,36
15,37
15,38
15,39
15,40
15,41
15,42
15,43
15,44
15,45
15,46
15,46
15,47
15,48
15,48
15,49
15,49
15,49
15,49
15,49
15,49
15,49
15,49
15,49
15,49
15,50
15,51
15,51
15,52
15,53
15,54
15,55
15,56
15,57
15,58
15,59
15,60
15,61
15,62
15,63
15,64
15,65
15,66
15,67
15,68
15,69
15,70
15,71
16,8
16,8
16,48
16,49
16,49
16,49
16,49
16,49
16,49
16,49
16,49
16,49
16,49
17,8
17,8
17,8
17,11
17,14
17,40
17,48
17,49
17,49
17,49
17,49
17,49
17,49
17,49
17,49
17,49
17,49
18,8
18,8
18,48
18,49
18,49
18,49
18,49
18,49
18,49
18,49
18,49
18,49
18,49
19,8
19,8
19,11
19,46
19,48
19,49
19,49
19,49
19,49
19,49
19,49
19,49
19,49
19,49
19,49
19,51
20,8
20,8
20,11
20,48
20,49
20,49
20,49
20,49
20,49
20,49
20,49
20,49
20,49
20,49
21,8
21,8
21,48
21,49
21,49
21,49
21,49
21,49
21,49
21,49
21,49
21,49
21,49
22,8
22,8
22,48
22,49
22,49
22,49
22,49
22,49
22,49
22,49
22,49
22,49
22,49
23,8
23,8
23,46
23,48
23,48
23,48
23,49
24,8
24,8
24,48
24,49
24,49
24,49
24,49
24,49
24,49
24,49
24,49
24,49
24,49
24,50
25,8
25,8
25,11
25,14
25,48
25,49
25,49
25,49
25,49
25,49
25,49
25,49
25,50
26,8
26,8
26,11
26,48
26,49
26,49
26,49
26,49
26,49
26,49
26,49
26,49
26,49
26,49
26,50
27,2
27,8
27,8
27,8
27,9
27,10
27,11
27,11
27,12
27,12
27,13
27,14
27,15
27,16
27,17
27,18
27,19
27,20
27,21
27,22
27,23
27,24
