Source,Target
1,8
1,8
1,8
1,8
1,8
1,8
1,8
1,8
1,8
1,8
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,16
1,16
1,17
1,17
1,17
1,17
1,17
1,17
1,17
1,17
1,17
1,17
1,24
1,24
1,24
1,25
1,25
1,25
1,25
1,25
1,25
1,25
1,32
1,32
1,32
1,32
1,32
1,32
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
2,10
2,10
2,10
2,11
2,11
2,11
2,11
2,11
2,11
2,11
2,11
2,11
2,11
2,18
2,18
2,18
2,18
2,18
2,18
2,18
2,18
2,18
2,19
2,19
2,19
2,19
2,19
2,19
2,19
2,27
2,27
2,27
2,27
2,27
2,27
2,27
2,27
2,27
2,27
2,34
2,34
2,34
2,34
2,34
2,34
2,34
2,34
2,35
2,35
2,35
2,35
2,35
2,35
2,35
2,35
2,35
2,35
5,13
5,13
5,13
5,13
5,13
5,13
5,13
5,20
5,20
5,20
5,20
5,20
5,21
5,21
5,21
5,21
5,21
5,21
5,21
5,21
5,21
5,21
5,28
5,28
5,28
5,28
5,28
5,28
5,28
5,28
5,28
5,28
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,36
5,36
5,36
5,37
5,37
5,37
5,37
5,37
5,37
5,37
6,14
6,14
6,14
6,14
6,14
6,14
6,14
6,14
6,14
6,14
6,15
6,15
6,15
6,15
6,15
6,15
6,15
6,15
6,15
6,15
6,22
6,22
6,22
6,22
6,22
6,22
6,22
6,23
6,23
6,23
6,23
6,23
6,23
6,23
6,23
6,23
6,23
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,31
6,31
6,31
6,31
6,31
6,31
6,31
6,31
6,31
6,39
6,39
6,39
6,39
6,39
6,39
6,39
8,1
8,9
8,9
8,10
8,10
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,11
8,12
8,12
8,13
8,13
8,14
8,14
8,15
8,15
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,16
8,17
8,17
8,17
8,17
8,17
8,17
8,17
8,17
8,17
8,18
8,18
8,19
8,19
8,20
8,20
8,21
8,21
8,21
8,21
8,21
8,21
8,22
8,22
8,23
8,24
8,24
8,24
8,24
8,24
8,24
8,24
8,24
8,24
8,24
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,25
8,26
8,26
8,27
8,27
8,27
8,27
8,28
8,28
8,29
8,29
8,30
8,30
8,30
8,31
8,31
8,32
8,32
8,32
8,32
8,32
8,32
8,33
8,33
8,34
8,34
8,34
8,34
8,35
8,35
8,36
8,36
8,37
8,37
8,37
8,38
8,38
8,39
8,39
8,40
8,40
8,40
8,41
8,41
8,42
8,42
8,43
8,43
8,43
8,43
8,43
8,44
8,44
8,44
8,45
8,45
8,46
8,46
8,46
8,46
8,46
8,47
8,47
8,48
8,48
8,49
8,49
8,49
8,49
8,49
8,50
8,50
8,51
8,51
8,51
8,52
8,52
8,53
8,53
8,54
8,54
8,55
8,55
8,56
8,56
8,56
8,57
8,57
8,57
8,57
8,58
8,58
8,58
8,59
8,59
8,60
8,60
8,60
8,60
8,60
8,61
8,61
8,62
8,62
8,63
8,63
8,64
8,64
8,64
8,65
8,65
8,66
8,66
8,67
8,67
8,68
8,68
8,69
8,69
8,70
8,70
8,71
9,1
9,1
9,1
9,8
9,8
9,8
9,11
9,11
9,11
9,16
9,16
9,17
9,17
9,21
9,21
9,24
9,24
9,24
9,24
9,24
9,24
9,25
9,25
9,27
9,32
9,32
9,34
9,37
9,40
9,43
9,46
9,46
9,49
9,49
9,51
9,56
9,57
9,57
9,60
9,60
9,60
10,8
10,8
10,8
10,9
10,11
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,19
10,20
10,20
10,21
10,21
10,22
10,22
10,23
10,24
10,24
10,24
10,24
10,24
10,24
10,24
10,25
10,26
10,27
10,28
10,29
10,29
10,30
10,31
10,32
10,32
10,33
10,34
10,35
10,36
10,37
10,38
10,39
10,40
10,41
10,42
10,43
10,44
10,45
10,46
10,47
10,48
10,49
10,50
10,51
10,52
10,53
10,54
10,55
10,56
10,56
10,57
10,58
10,59
10,60
10,60
10,60
10,60
10,61
10,62
10,62
10,63
10,64
10,65
10,66
10,67
10,68
10,69
10,70
10,71
11,2
11,2
11,2
11,2
11,8
11,8
11,8
11,8
11,8
11,8
11,8
11,8
11,8
11,8
11,9
11,9
11,9
11,9
11,10
11,10
11,10
11,12
11,12
11,12
11,13
11,13
11,13
11,13
11,14
11,14
11,14
11,15
11,15
11,15
11,15
11,16
11,16
11,16
11,16
11,17
11,17
11,17
11,17
11,17
11,18
11,18
11,18
11,18
11,19
11,19
11,19
11,19
11,20
11,20
11,20
11,20
11,21
11,21
11,21
11,21
11,21
11,22
11,22
11,22
11,22
11,23
11,23
11,23
11,23
11,23
11,24
11,24
11,24
11,24
11,24
11,25
11,25
11,25
11,25
11,26
11,26
11,26
11,27
11,27
11,27
11,27
11,28
11,28
11,28
11,29
11,29
11,29
11,29
11,29
11,29
11,30
11,30
11,30
11,30
11,31
11,31
11,31
11,31
11,32
11,32
11,32
11,32
11,33
11,33
11,33
11,33
11,34
11,34
11,34
11,34
11,35
11,35
11,35
11,35
11,36
11,36
11,36
11,37
11,37
11,37
11,37
11,38
11,38
11,38
11,39
11,39
11,39
11,39
11,40
11,40
11,40
11,41
11,41
11,41
11,41
11,42
11,42
11,42
11,43
11,43
11,43
11,43
11,44
11,44
11,44
11,44
11,44
11,44
11,44
11,44
11,44
11,44
11,45
11,45
11,45
11,45
11,46
11,46
11,46
11,46
11,46
11,46
11,47
11,47
11,47
11,47
11,48
11,48
11,48
11,49
11,49
11,49
11,49
11,50
11,50
11,50
11,51
11,51
11,51
11,51
11,52
11,52
11,52
11,53
11,53
11,53
11,53
11,54
11,54
11,54
11,55
11,55
11,55
11,55
11,56
11,56
11,56
11,57
11,57
11,57
11,57
11,57
11,58
11,58
11,58
11,59
11,59
11,59
11,59
11,59
11,60
11,60
11,60
11,60
11,60
11,60
11,60
11,60
11,60
11,60
11,61
11,61
11,61
11,61
11,61
11,62
11,62
11,62
11,63
11,63
11,63
11,63
11,64
11,64
11,64
11,65
11,65
11,65
11,65
11,66
11,66
11,66
11,67
11,67
11,67
11,67
11,68
11,68
11,68
11,69
11,69
11,69
11,69
11,70
11,70
11,70
11,71
11,71
11,71
11,71
12,8
12,8
12,24
12,24
12,24
12,24
12,60
12,60
13,5
13,5
13,5
13,8
13,8
13,11
13,24
13,24
13,24
13,24
13,24
13,60
13,60
14,6
14,6
14,6
14,8
14,8
14,9
14,9
14,13
14,13
14,17
14,17
14,17
14,21
14,21
14,21
14,24
14,24
14,24
14,24
14,24
14,24
14,25
14,25
14,25
14,29
14,29
14,33
14,33
14,60
14,60
15,6
15,6
15,6
15,8
15,11
15,24
15,24
15,24
15,24
15,24
15,24
15,24
15,24
15,60
15,60
16,8
16,8
16,8
16,8
16,8
16,8
16,8
16,8
16,8
16,9
16,11
16,11
16,17
16,21
16,22
16,23
16,24
16,24
16,24
16,25
16,29
16,30
16,30
16,37
16,43
16,43
16,44
16,44
16,44
16,44
16,45
16,46
16,49
16,49
16,51
16,57
16,57
16,60
16,60
16,60
16,60
16,60
16,60
16,60
16,67
17,1
17,1
17,1
17,8
17,8
17,8
17,8
17,8
17,8
17,8
17,8
17,8
17,8
17,9
17,11
17,11
17,11
17,14
17,16
17,21
17,21
17,24
17,24
17,24
17,24
17,25
17,25
17,27
17,27
17,29
17,32
17,37
17,43
17,44
17,44
17,44
17,46
17,49
17,49
17,51
17,56
17,57
17,57
17,60
17,60
17,60
17,60
17,60
17,60
17,60
17,67
18,8
18,8
18,11
18,11
18,11
18,11
18,11
18,16
18,16
18,17
18,17
18,21
18,21
18,24
18,24
18,24
18,24
18,24
18,24
18,24
18,24
18,25
18,25
18,27
18,32
18,32
18,32
18,34
18,37
18,37
18,40
18,43
18,46
18,46
18,46
18,49
18,49
18,51
18,51
18,56
18,56
18,57
18,57
18,57
18,57
18,58
18,60
18,60
18,64
19,2
19,2
19,2
19,8
19,8
19,11
19,24
19,24
19,24
19,24
19,24
19,24
19,60
19,60
20,8
20,8
20,8
20,9
20,10
20,11
20,11
20,11
20,12
20,13
20,14
20,15
20,16
20,16
20,16
20,17
20,17
20,17
20,18
20,19
20,21
20,21
20,22
20,23
20,24
20,24
20,24
20,24
20,24
20,24
20,24
20,24
20,25
20,25
20,25
20,26
20,27
20,28
20,29
20,30
20,30
20,31
20,32
20,32
20,33
20,34
20,34
20,35
20,36
20,37
20,37
20,38
20,39
20,40
20,40
20,41
20,42
20,43
20,43
20,44
20,45
20,46
20,46
20,47
20,48
20,49
20,49
20,50
20,51
20,51
20,52
20,53
20,54
20,55
20,56
20,56
20,57
20,57
20,58
20,59
20,60
20,60
20,60
20,61
20,62
20,63
20,64
20,64
20,65
20,66
20,67
20,68
20,69
20,70
20,71
21,5
21,5
21,5
21,8
21,8
21,8
21,8
21,8
21,8
21,8
21,9
21,9
21,10
21,11
21,11
21,11
21,11
21,11
21,12
21,13
21,14
21,14
21,15
21,16
21,16
21,16
21,17
21,17
21,17
21,18
21,19
21,20
21,20
21,22
21,23
21,24
21,24
21,24
21,24
21,24
21,24
21,24
21,24
21,24
21,25
21,25
21,25
21,25
21,26
21,27
21,27
21,28
21,29
21,29
21,30
21,31
21,32
21,32
21,33
21,34
21,34
21,35
21,35
21,36
21,37
21,37
21,37
21,38
21,39
21,40
21,41
21,42
21,43
21,43
21,44
21,45
21,46
21,46
21,46
21,47
21,48
21,49
21,49
21,49
21,50
21,51
21,51
21,52
21,53
21,54
21,55
21,56
21,56
21,57
21,57
21,58
21,58
21,59
21,60
21,60
21,60
21,60
21,60
21,61
21,62
21,63
21,64
21,65
21,66
21,67
21,67
21,68
21,69
21,69
21,70
