Source,Target
1,8
1,9
1,16
1,17
1,24
1,25
1,32
1,33
2,10
2,11
2,18
2,19
2,26
2,27
2,34
2,35
5,12
5,13
5,20
5,21
5,28
5,29
5,36
5,37
6,14
6,15
6,22
6,23
6,30
6,31
6,38
6,39
8,1
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,17
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,25
8,26
8,27
8,28
8,29
8,30
8,31
8,32
8,33
8,34
8,35
8,36
8,37
8,38
8,39
8,40
8,41
8,42
8,43
8,44
8,45
8,46
8,47
8,48
8,49
8,50
8,51
8,52
8,53
8,54
8,55
8,56
8,57
8,58
8,59
8,60
8,61
8,62
8,63
8,64
8,65
8,66
8,67
8,68
8,69
8,70
8,71
9,1
9,8
9,10
9,11
9,13
9,14
9,15
9,16
9,17
9,18
9,20
9,21
9,22
9,23
9,26
9,27
9,28
9,29
9,31
9,32
9,34
9,35
9,36
9,37
9,38
9,41
9,43
9,44
9,45
9,47
9,50
9,55
9,56
9,57
9,59
9,60
9,61
9,62
9,63
9,64
9,65
9,66
9,68
9,71
10,2
10,8
10,9
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,19
10,20
10,21
10,22
10,23
10,24
10,25
10,26
10,27
10,28
10,29
10,30
10,31
10,32
10,33
10,34
10,35
10,36
10,37
10,38
10,39
10,40
10,41
10,42
10,43
10,44
10,45
10,46
10,47
10,48
10,49
10,50
10,51
10,52
10,53
10,54
10,55
10,56
10,57
10,58
10,59
10,60
10,61
10,62
10,63
10,64
10,65
10,66
10,67
10,68
10,69
10,70
10,71
11,2
11,8
11,9
11,10
11,13
11,14
11,15
11,16
11,17
11,18
11,20
11,21
11,22
11,23
11,24
11,26
11,27
11,28
11,29
11,31
11,32
11,33
11,34
11,35
11,36
11,37
11,38
11,41
11,43
11,44
11,45
11,46
11,47
11,50
11,55
11,56
11,57
11,59
11,60
11,61
11,62
11,63
11,64
11,65
11,66
11,67
11,68
11,69
11,71
12,5
12,8
12,10
12,13
12,14
12,15
12,16
12,17
12,18
12,20
12,21
12,22
12,23
12,27
12,28
12,29
12,30
12,31
12,32
12,34
12,35
12,36
12,37
12,38
12,43
12,44
12,45
12,50
12,52
12,56
12,57
12,59
12,60
12,61
12,70
12,71
13,5
13,8
13,9
13,10
13,11
13,12
13,14
13,15
13,17
13,18
13,21
13,23
13,24
13,26
13,27
13,28
13,29
13,32
13,34
13,36
13,37
13,41
13,50
13,60
13,71
14,6
14,8
14,9
14,10
14,11
14,12
14,13
14,15
14,16
14,17
14,18
14,21
14,23
14,24
14,25
14,26
14,27
14,28
14,29
14,32
14,33
14,34
14,36
14,37
14,41
14,50
14,60
14,62
14,71
15,6
15,8
15,9
15,10
15,11
15,12
15,13
15,14
15,16
15,17
15,18
15,19
15,20
15,21
15,22
15,23
15,24
15,25
15,26
15,27
15,28
15,29
15,30
15,31
15,32
15,33
15,34
15,35
15,36
15,37
15,38
15,39
15,40
15,41
15,42
15,43
15,44
15,45
15,46
15,47
15,48
15,49
15,50
15,51
15,52
15,53
15,54
15,55
15,56
15,57
15,58
15,59
15,60
15,61
15,62
15,63
15,64
15,65
15,66
15,67
15,68
15,69
15,70
15,71
16,1
16,8
16,9
16,10
16,11
16,12
16,14
16,15
16,17
16,18
16,20
16,21
16,23
16,24
16,26
16,27
16,28
16,29
16,30
16,32
16,34
16,36
16,37
16,41
16,50
16,59
16,60
16,61
16,71
17,1
17,8
17,9
17,10
17,11
17,12
17,13
17,14
17,15
17,16
17,18
17,19
17,20
17,21
17,22
17,23
17,24
17,25
17,26
17,27
17,28
17,29
17,30
17,31
17,32
17,33
17,34
17,35
17,36
17,37
17,38
17,39
17,40
17,41
17,42
17,43
17,44
17,45
