Source,target
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,17
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,25
8,26
8,27
8,28
8,29
8,30
8,31
8,32
8,33
8,34
8,35
8,36
8,37
8,38
8,39
8,40
8,41
8,42
8,43
8,44
8,45
8,46
8,47
8,48
8,49
8,50
8,51
8,52
8,53
8,54
8,55
9,8
9,10
9,11
9,12
9,13
9,14
9,15
9,17
9,18
9,19
9,20
9,24
9,25
9,26
9,28
9,30
9,31
9,32
9,33
9,34
9,36
9,37
9,38
9,40
9,41
9,42
9,43
9,44
9,46
9,47
9,48
9,50
9,51
9,54
9,55
10,8
10,9
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,19
10,20
10,21
10,22
10,23
10,24
10,25
10,26
10,27
10,28
10,29
10,30
10,31
10,32
10,33
10,34
10,35
10,36
10,37
10,38
10,39
10,40
10,41
10,42
10,43
10,44
10,45
10,46
10,47
10,48
10,49
10,50
10,51
10,52
10,53
10,54
10,55
11,8
11,9
11,10
11,12
11,13
11,14
11,15
11,16
11,17
11,18
11,19
11,20
11,21
11,22
11,23
11,24
11,25
11,26
11,27
11,28
11,29
11,30
11,31
11,32
11,33
11,34
11,35
11,36
11,37
11,38
11,39
11,40
11,41
11,42
11,43
11,44
11,45
11,46
11,47
11,48
11,49
11,50
11,51
11,52
11,53
11,54
11,55
12,8
12,9
12,10
12,11
12,13
12,14
12,15
12,16
12,17
12,18
12,19
12,20
12,22
12,23
12,24
12,25
12,26
12,27
12,28
12,30
12,32
12,33
12,34
12,35
12,36
12,37
12,38
12,40
12,41
12,42
12,43
12,44
12,45
12,46
12,47
12,48
12,49
12,50
12,51
12,52
12,53
12,54
12,55
13,8
13,9
13,10
13,11
13,12
13,14
13,15
13,16
13,17
13,18
13,20
13,21
13,22
13,24
13,25
13,26
13,28
13,30
13,31
13,32
13,33
13,34
13,36
13,37
13,38
13,39
13,40
13,41
13,42
13,43
13,44
13,46
13,47
13,48
13,50
13,51
13,54
13,55
14,8
14,9
14,10
14,11
14,12
14,13
14,15
14,16
14,17
14,18
14,19
14,20
14,21
14,22
14,23
14,24
14,25
14,26
14,28
14,29
14,30
14,31
14,32
14,33
14,34
14,35
14,36
14,37
14,38
14,39
14,40
14,41
14,42
14,43
14,44
14,45
14,46
14,47
14,48
14,49
14,50
14,51
14,52
14,53
14,54
14,55
15,8
15,9
15,10
15,11
15,12
15,13
15,14
15,16
15,17
15,18
15,19
15,20
15,21
15,22
15,23
15,24
15,25
15,26
15,27
15,28
15,29
15,30
15,31
15,32
15,33
15,34
15,35
15,36
15,37
15,38
15,39
15,40
15,41
15,42
15,43
15,44
15,45
15,46
15,47
15,48
15,49
15,50
15,51
15,52
15,53
15,54
15,55
16,8
16,10
16,11
16,12
16,13
16,14
16,15
16,17
16,18
16,19
16,20
16,21
16,22
16,23
16,24
16,25
16,26
16,27
16,28
16,30
16,31
16,32
16,33
16,34
16,35
16,36
16,37
16,38
16,40
16,41
16,42
16,43
16,44
16,45
16,46
16,47
16,48
16,49
16,50
16,51
16,52
16,53
16,54
16,55
17,8
17,9
17,10
17,11
17,12
17,13
17,14
17,15
17,16
17,18
17,21
17,22
17,24
17,25
17,26
17,27
17,28
17,30
17,31
17,32
17,33
17,34
17,36
17,37
17,38
17,40
17,41
17,42
17,43
17,44
17,45
17,47
17,48
17,50
17,51
17,54
17,55
18,8
18,9
18,10
18,11
18,12
18,13
18,14
18,15
18,16
18,17
18,19
18,20
18,21
18,22
18,23
18,24
18,25
18,26
18,27
18,28
18,29
18,30
18,31
18,32
18,33
18,34
18,35
18,36
18,37
18,38
18,39
18,40
18,41
18,42
18,43
18,44
18,45
18,46
18,48
18,49
18,50
18,51
18,52
18,53
18,54
18,55
19,8
19,9
19,10
19,11
19,12
19,14
19,15
19,16
19,18
19,20
19,22
19,26
19,28
19,29
19,30
19,32
19,33
19,34
19,35
19,36
19,37
