Source,Target
1,8
1,8
1,8
1,8
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,9
1,24
1,24
1,24
1,24
1,24
1,24
1,24
1,24
1,24
1,24
1,25
1,25
1,25
1,25
1,25
1,25
1,25
1,25
1,25
1,25
1,32
1,32
1,32
1,32
1,32
1,32
1,32
1,32
1,32
1,32
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,33
2,26
2,26
2,26
2,26
2,26
2,26
2,26
2,26
2,26
2,26
2,27
2,27
2,27
2,27
2,27
2,27
2,27
2,27
2,27
5,12
5,12
5,13
5,13
5,13
5,13
5,13
5,13
5,13
5,13
5,13
5,28
5,28
5,28
5,28
5,28
5,28
5,28
5,28
5,28
5,28
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
5,29
6,14
6,14
6,14
6,14
6,14
6,14
6,14
6,14
6,14
6,14
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,30
6,31
6,31
6,31
6,31
6,31
6,31
6,31
6,31
6,31
6,31
8,9
8,9
8,9
8,10
8,10
8,11
8,11
8,12
8,12
8,13
8,13
8,13
8,14
8,14
8,15
8,15
8,16
8,16
8,17
8,17
8,18
8,18
8,19
8,19
8,20
8,20
8,21
8,21
8,22
8,22
8,23
8,24
8,24
8,25
8,25
8,26
8,26
8,27
8,27
8,28
8,28
8,29
8,29
8,30
8,30
8,30
8,30
8,31
8,31
8,32
8,32
8,33
8,33
8,34
8,34
8,35
8,35
8,36
8,36
8,37
8,37
8,38
8,38
8,39
8,39
8,40
8,40
8,41
8,41
8,42
8,42
8,43
8,43
8,44
8,44
8,45
8,45
8,46
8,46
8,47
8,47
8,48
8,48
8,49
8,49
8,50
8,50
8,51
8,51
8,52
8,52
8,53
8,53
8,53
8,54
8,54
8,54
8,55
8,55
8,56
8,56
8,57
8,57
8,58
8,58
8,59
8,59
8,60
8,60
8,61
8,61
8,62
8,62
8,63
8,63
8,64
8,64
8,65
8,65
8,65
8,66
8,66
8,67
8,67
8,68
8,68
8,69
8,69
8,70
8,70
8,71
8,71
9,8
9,8
9,8
9,8
9,8
9,10
9,10
9,10
9,10
9,11
9,11
9,11
9,11
9,12
9,12
9,12
9,12
9,13
9,13
9,13
9,13
9,13
9,14
9,14
9,14
9,14
9,15
9,15
9,15
9,15
9,16
9,16
9,16
9,16
9,17
9,17
9,17
9,17
9,18
9,18
9,18
9,18
9,19
9,19
9,19
9,19
9,20
9,20
9,20
9,20
9,21
9,21
9,21
9,21
9,22
9,22
9,22
9,22
9,23
9,23
9,23
9,24
9,24
9,24
9,24
9,25
9,25
9,25
9,25
9,26
9,26
9,26
9,26
9,27
9,27
9,27
9,27
9,28
9,28
9,28
9,28
9,29
9,29
9,29
9,29
9,30
9,30
9,30
9,30
9,31
9,31
9,31
9,31
9,32
9,32
9,32
9,32
9,33
9,33
9,33
9,33
9,34
9,34
9,34
9,34
9,35
9,35
9,35
9,35
9,36
9,36
9,36
9,36
9,37
9,37
9,37
9,37
9,38
9,38
9,38
9,38
9,39
9,39
9,39
9,39
9,40
9,40
9,40
9,40
9,41
9,41
9,41
9,41
9,42
9,42
9,42
9,42
9,43
9,43
9,43
9,43
9,44
9,44
9,44
9,44
9,45
9,45
9,45
9,45
9,46
9,46
9,46
9,46
9,47
9,47
9,47
9,47
9,48
9,48
9,48
9,48
9,49
9,49
9,49
9,49
9,50
9,50
9,50
9,50
9,51
9,51
9,51
9,51
9,52
9,52
9,52
9,52
9,53
9,53
9,53
9,53
9,54
9,54
9,54
9,54
9,54
9,55
9,55
9,55
9,55
9,56
9,56
9,56
9,56
9,57
9,57
9,57
9,57
9,58
9,58
9,58
9,58
9,59
9,59
9,59
9,59
9,60
9,60
9,60
9,60
9,61
9,61
9,61
9,61
9,62
9,62
9,62
9,62
9,63
9,63
9,63
9,63
9,64
9,64
9,64
9,64
9,65
9,65
9,65
9,65
9,66
9,66
9,66
9,66
9,67
9,67
9,67
9,67
9,68
9,68
9,68
9,68
9,69
9,69
9,69
9,69
9,70
9,70
9,70
9,70
9,71
9,71
9,71
9,71
12,8
12,8
12,9
12,9
12,10
12,11
12,13
12,13
12,14
12,15
12,16
12,17
12,18
12,19
12,20
12,21
12,22
12,23
12,24
12,25
12,26
12,27
12,28
12,29
12,30
12,30
12,30
12,31
12,32
12,33
12,34
12,35
12,36
12,37
12,38
12,39
12,40
12,41
12,42
12,43
12,44
12,45
12,46
12,47
12,48
12,49
12,50
12,51
12,52
12,53
12,54
12,55
12,56
12,57
12,58
12,59
12,60
12,61
12,62
12,63
12,64
12,65
12,66
12,67
12,68
12,69
12,70
12,71
13,8
13,8
13,8
13,8
13,8
13,9
13,9
13,9
13,9
13,9
13,10
13,10
13,10
13,10
13,11
13,11
13,11
13,11
13,12
13,12
13,12
13,12
13,14
13,14
13,14
13,14
13,15
13,15
13,15
13,15
13,16
13,16
13,16
13,16
13,17
13,17
13,17
13,17
13,18
13,18
13,18
13,18
13,19
13,19
13,19
13,19
13,20
13,20
13,20
13,20
13,21
13,21
13,21
13,21
13,22
13,22
13,22
13,22
13,23
13,23
13,23
13,23
13,24
13,24
13,24
13,24
13,25
13,25
13,25
13,25
13,26
13,26
13,26
13,26
13,27
13,27
13,27
13,27
13,28
13,28
13,28
13,28
13,29
13,29
13,29
13,29
13,30
13,30
13,30
13,30
13,31
13,31
13,31
13,31
13,32
13,32
13,32
13,32
13,33
13,33
13,33
13,33
13,34
13,34
13,34
13,34
13,35
13,35
13,35
13,35
13,36
13,36
13,36
13,36
13,37
13,37
13,37
13,37
13,38
13,38
13,38
13,38
13,39
13,39
13,39
13,39
13,40
13,40
13,40
13,40
13,41
13,41
13,41
13,41
13,42
13,42
13,42
13,42
13,43
13,43
13,43
13,43
13,44
13,44
13,44
13,44
13,45
13,45
13,45
13,45
13,46
13,46
13,46
13,46
13,47
13,47
13,47
13,47
13,48
13,48
13,48
13,48
13,49
13,49
13,49
13,49
13,50
13,50
13,50
13,50
13,51
13,51
13,51
13,51
13,52
13,52
13,52
13,52
13,53
13,53
13,53
13,53
13,54
13,54
13,54
13,54
13,54
13,55
13,55
13,55
13,55
13,55
13,56
13,56
13,56
13,56
13,57
13,57
13,57
13,57
13,58
13,58
13,58
13,58
13,59
13,59
13,59
13,59
13,60
13,60
13,60
13,60
13,61
13,61
13,61
13,61
13,62
13,62
13,62
13,62
13,63
13,63
13,63
13,63
13,64
13,64
13,64
13,64
13,65
13,65
13,65
13,65
13,66
13,66
13,66
13,66
13,67
13,67
13,67
13,67
13,68
13,68
13,68
13,68
13,69
13,69
13,69
13,69
13,70
13,70
13,70
13,70
13,71
13,71
13,71
13,71
14,6
14,8
14,9
14,9
14,13
14,13
14,17
14,21
14,25
14,25
14,29
14,33
14,53
14,54
14,55
14,65
15,8
15,9
15,13
15,55
16,30
16,55
19,55
20,30
24,1
24,8
24,8
24,9
24,9
24,10
24,30
25,1
25,12
25,13
25,13
25,14
25,15
25,16
25,17
25,18
26,2
26,20
26,21
26,22
26,23
27,55
28,5
28,30
28,35
28,37
28,55
29,5
29,40
29,42
29,43
29,44
29,45
30,6
30,6
30,6
30,6
30,6
30,6
30,8
30,8
30,8
30,12
30,12
30,16
30,16
30,20
30,20
30,24
30,24
30,28
30,28
30,32
30,32
30,36
30,36
30,47
30,51
30,52
31,6
31,53
31,54
31,55
31,59
32,1
32,30
32,61
32,63
32,64
32,65
33,1
33,67
33,69
36,30
41,9
41,13
41,73
42,8
42,9
42,13
42,55
42,74
43,9
43,13
43,74
44,9
44,13
44,77
45,9
45,13
45,55
45,77
46,9
46,11
46,13
46,15
46,19
46,23
46,27
46,31
46,35
46,55
46,78
46,78
46,78
47,55
48,55
53,8
53,8
53,9
53,9
53,10
53,10
53,11
53,12
53,12
53,13
53,13
53,14
53,14
53,15
53,15
53,16
53,16
53,17
53,17
53,18
53,18
53,19
53,20
53,21
53,22
53,22
53,23
53,24
53,24
53,25
53,25
53,26
53,26
53,27
53,27
53,28
53,28
53,29
53,29
53,30
53,30
53,31
53,31
53,32
53,32
53,33
53,33
53,34
53,34
53,35
53,35
53,36
53,36
53,37
53,38
53,39
53,40
53,41
53,41
53,42
53,42
53,43
53,43
53,44
53,44
53,45
53,45
53,46
53,46
53,47
53,47
53,48
53,48
53,49
53,50
53,51
53,52
53,54
53,54
53,55
53,55
53,56
53,57
53,57
53,58
53,59
53,60
53,60
53,61
53,61
53,62
53,63
53,64
53,65
53,65
53,66
53,66
53,67
53,67
53,68
53,68
53,69
53,69
53,70
53,70
53,71
53,71
54,8
54,8
54,8
54,9
54,9
54,9
54,10
54,10
54,10
54,11
54,11
54,12
54,12
54,13
54,13
54,13
54,14
54,14
54,15
54,15
54,16
54,16
54,17
54,17
54,18
54,18
54,19
54,19
54,20
54,20
54,21
54,21
54,22
54,22
54,23
54,23
54,24
54,24
54,25
54,25
54,26
54,26
54,27
54,27
54,28
54,28
54,29
54,29
54,30
54,30
54,31
54,31
54,32
54,32
54,33
54,33
54,34
54,34
54,35
54,35
54,36
54,36
54,37
54,37
54,38
54,38
54,39
54,39
54,40
54,40
54,41
54,41
54,42
54,42
54,43
54,43
54,44
54,44
54,45
54,45
54,46
54,46
54,47
54,47
54,48
54,48
54,49
54,49
54,50
54,50
54,51
54,51
54,52
54,52
54,53
54,53
54,55
54,55
54,56
54,56
54,57
54,57
54,58
54,58
54,59
54,59
54,60
54,60
54,61
54,61
54,62
54,62
54,63
54,63
54,64
54,64
54,65
54,65
54,66
54,66
54,67
54,67
54,67
54,68
54,68
54,69
54,69
54,69
54,70
54,70
54,70
54,71
54,71
55,13
55,13
55,14
55,16
55,27
55,28
55,42
55,45
55,46
55,47
55,48
55,53
55,59
55,60
55,63
55,64
55,78
59,55
60,55
62,10
62,14
62,18
62,22
62,26
62,30
62,34
62,78
63,55
64,55
65,8
65,8
65,9
65,9
65,10
