Source,target
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,17
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,25
8,26
8,27
8,28
8,29
8,30
8,31
8,32
8,33
8,34
8,35
8,36
8,37
8,38
8,39
8,40
8,41
8,42
8,43
8,44
8,45
8,46
8,47
8,48
8,49
8,50
8,51
8,52
8,53
8,54
8,55
9,8
9,10
9,11
9,12
9,13
9,14
9,15
9,16
9,17
9,18
9,19
9,20
9,21
9,22
9,23
9,24
9,25
9,26
9,27
9,28
9,29
9,30
9,31
9,32
9,33
9,34
9,35
9,36
9,37
9,38
9,39
9,40
9,41
9,42
9,43
9,44
9,45
9,46
9,47
9,48
9,49
9,50
9,51
9,52
9,53
9,54
9,55
10,8
10,9
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,19
10,20
10,21
10,22
10,23
10,24
10,25
10,26
10,27
10,28
10,29
10,30
10,31
10,32
10,33
10,34
10,35
10,36
10,37
10,38
10,39
10,40
10,41
10,42
10,43
10,44
10,45
10,46
10,47
10,48
10,49
10,50
10,51
10,52
10,53
10,54
10,55
11,8
11,9
11,10
11,12
11,13
11,14
11,15
11,16
11,17
11,18
11,19
11,20
11,21
11,22
11,23
11,24
11,25
11,26
11,27
11,28
11,29
11,30
11,31
11,32
11,33
11,34
11,35
11,36
11,37
11,38
11,39
11,40
11,41
11,42
11,43
11,44
11,45
11,46
11,47
11,48
11,49
11,50
11,51
11,52
11,53
11,54
11,55
12,8
12,9
12,10
12,11
12,20
12,21
12,22
12,23
12,24
12,29
12,30
12,32
12,35
12,40
13,8
13,9
13,10
13,11
13,14
13,16
13,17
13,20
13,21
13,22
13,23
13,24
13,25
13,27
13,29
13,32
13,34
13,35
13,40
14,8
14,9
14,10
14,11
14,13
14,17
14,20
14,21
14,22
14,23
14,24
14,25
14,29
14,32
14,33
14,35
14,40
15,8
15,9
15,10
15,11
15,16
15,17
15,20
15,21
15,22
15,23
15,24
15,25
15,27
15,29
15,32
15,34
15,35
15,40
15,43
15,46
16,8
16,9
16,10
16,11
16,13
16,15
16,17
16,18
16,19
16,20
16,21
16,22
16,23
16,24
16,25
16,27
16,29
16,30
16,31
16,32
16,33
16,34
16,35
16,36
16,37
16,39
16,40
16,41
16,43
16,44
16,45
16,46
16,47
16,49
16,51
16,53
16,55
17,8
17,9
17,10
17,11
17,13
17,14
17,15
17,16
17,18
17,19
17,20
17,21
17,22
17,23
17,24
17,25
17,27
17,28
17,29
17,30
17,31
17,32
17,33
17,34
17,35
17,36
17,37
17,39
17,40
17,41
17,43
17,44
17,45
17,46
17,47
17,49
17,51
17,53
17,55
18,8
18,9
18,10
18,11
18,16
18,17
18,20
18,21
18,22
18,23
18,24
18,25
18,27
18,29
18,32
18,34
18,35
18,37
18,40
18,43
18,46
18,49
18,51
19,8
19,9
19,10
19,11
19,16
19,17
19,20
19,21
19,22
19,23
19,24
19,25
19,27
19,29
19,32
19,34
19,35
19,40
19,46
20,8
20,9
20,10
20,11
20,12
20,13
20,14
20,15
20,16
20,17
20,18
20,19
20,21
20,22
20,23
20,24
20,25
20,26
20,27
20,28
20,29
20,30
20,31
20,32
20,33
20,34
20,35
20,36
20,37
20,38
20,39
20,40
20,41
20,42
20,43
20,44
20,45
20,46
20,47
20,48
20,49
20,50
20,51
20,52
20,53
20,54
20,55
21,8
21,9
21,10
21,11
21,12
21,13
21,14
21,15
21,16
21,17
21,18
21,19
21,20
21,22
21,23
21,24
21,25
21,26
21,27
21,28
21,29
21,30
21,31
21,32
21,33
21,34
21,35
21,36
21,37
21,38
21,39
21,40
21,41
21,42
21,43
21,44
21,45
21,46
21,47
21,48
21,49
21,50
21,51
21,52
21,53
21,54
21,55
22,8
22,9
22,10
22,11
22,12
22,13
22,14
22,15
22,16
22,17
22,18
22,19
22,20
22,21
22,23
22,24
22,25
22,26
22,27
22,28
22,29
22,30
22,31
22,32
22,33
22,34
22,35
22,36
