Source,target
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,17
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,25
8,26
8,27
8,28
8,29
8,30
8,31
8,32
8,33
8,34
8,35
8,36
8,37
8,38
8,39
8,40
8,41
8,42
8,43
8,44
8,45
8,46
8,47
8,48
8,49
8,50
8,51
8,52
8,53
8,54
8,55
9,8
9,10
9,11
9,13
9,14
9,15
9,16
9,17
9,18
9,20
9,21
9,22
9,23
9,26
9,27
9,28
9,29
9,31
9,32
9,34
9,35
9,36
9,37
9,38
9,41
9,43
9,44
9,45
9,47
9,50
9,55
10,8
10,9
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,19
10,20
10,21
10,22
10,23
10,24
10,25
10,26
10,27
10,28
10,29
10,30
10,31
10,32
10,33
10,34
10,35
10,36
10,37
10,38
10,39
10,40
10,41
10,42
10,43
10,44
10,45
10,46
10,47
10,48
10,49
10,50
10,51
10,52
10,53
10,54
10,55
11,8
11,9
11,10
11,13
11,14
11,15
11,16
11,17
11,18
11,20
11,21
11,22
11,23
11,24
11,26
11,27
11,28
11,29
11,31
11,32
11,33
11,34
11,35
11,36
11,37
11,38
11,41
11,43
11,44
11,45
11,46
11,47
11,50
11,55
12,8
12,10
12,13
12,14
12,15
12,16
12,17
12,18
12,20
12,21
12,22
12,23
12,27
12,28
12,29
12,30
12,31
12,32
12,34
12,35
12,36
12,37
12,38
12,43
12,44
12,45
12,50
12,52
13,8
13,9
13,10
13,11
13,12
13,14
13,15
13,17
13,18
13,21
13,23
13,24
13,26
13,27
13,28
13,29
13,32
13,34
13,36
13,37
13,41
13,50
14,8
14,9
14,10
14,11
14,12
14,13
14,15
14,16
14,17
14,18
14,21
14,23
14,24
14,25
14,26
14,27
14,28
14,29
14,32
14,33
14,34
14,36
14,37
14,41
14,50
15,8
15,9
15,10
15,11
15,12
15,13
15,14
15,16
15,17
15,18
15,19
15,20
15,21
15,22
15,23
15,24
15,25
15,26
15,27
15,28
15,29
15,30
15,31
15,32
15,33
15,34
15,35
15,36
15,37
15,38
15,39
15,40
15,41
15,42
15,43
15,44
15,45
15,46
15,47
15,48
15,49
15,50
15,51
15,52
15,53
15,54
15,55
16,8
16,9
16,10
16,11
16,12
16,14
16,15
16,17
16,18
16,20
16,21
16,23
16,24
16,26
16,27
16,28
16,29
16,30
16,32
16,34
16,36
16,37
16,41
16,50
17,8
17,9
17,10
17,11
17,12
17,13
17,14
17,15
17,16
17,18
17,19
17,20
17,21
17,22
17,23
17,24
17,25
17,26
17,27
17,28
17,29
17,30
17,31
17,32
17,33
17,34
17,35
17,36
17,37
17,38
17,39
17,40
17,41
17,42
17,43
17,44
17,45
17,46
17,47
17,48
17,49
17,50
17,51
17,52
17,53
17,54
17,55
18,8
18,9
18,10
18,11
18,12
18,13
18,14
18,15
18,16
18,17
18,20
18,21
18,22
18,23
18,24
18,25
18,26
18,27
18,28
18,29
18,31
18,32
18,34
18,35
18,36
18,37
18,38
18,41
18,42
18,43
18,44
18,45
18,47
18,50
18,55
19,8
19,10
19,15
19,17
19,21
19,23
19,26
19,27
19,28
19,29
19,32
19,33
19,34
19,36
19,46
20,8
20,9
20,10
20,11
20,12
20,15
20,16
20,17
20,18
20,21
20,23
20,24
20,26
20,27
20,28
20,29
20,30
20,32
20,33
20,34
20,36
20,37
20,41
20,50
21,8
21,9
21,10
21,11
21,12
21,13
21,14
21,15
21,16
21,17
21,18
21,19
21,20
21,22
21,23
21,24
21,25
21,26
21,27
21,28
21,29
21,30
21,31
21,32
21,33
21,34
21,35
21,36
21,37
21,38
21,39
21,40
21,41
21,42
21,43
21,44
21,45
21,46
21,47
21,48
21,49
21,50
21,51
21,52
21,53
21,54
21,55
22,8
22,9
22,10
22,11
22,12
22,15
22,17
22,18
22,21
22,23
22,24
22,26
22,27
22,28
22,29
22,32
22,33
22,34
22,36
22,37
22,41
22,50
23,8
23,9
23,10
