Source,target
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,17
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,25
8,26
8,27
8,28
8,29
8,30
8,31
8,32
8,33
8,34
8,35
8,36
8,37
8,38
8,39
8,40
8,41
8,42
8,43
8,44
8,45
8,46
8,47
8,48
8,49
8,50
8,51
8,52
8,53
8,54
8,55
9,8
9,10
9,12
9,14
9,15
9,16
9,17
9,18
9,19
9,21
9,22
9,23
9,24
9,25
9,26
9,27
9,28
9,30
9,31
9,34
9,36
9,38
9,45
9,46
9,47
9,48
9,50
9,54
10,8
10,9
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,19
10,20
10,21
10,22
10,23
10,24
10,25
10,26
10,27
10,28
10,30
10,31
10,32
10,33
10,34
10,35
10,36
10,37
10,38
10,39
10,40
10,41
10,42
10,44
10,45
10,46
10,47
10,48
10,49
10,50
10,51
10,53
10,54
10,55
11,8
11,10
11,12
11,15
11,16
11,17
11,18
11,19
11,21
11,22
11,23
11,24
11,25
11,26
11,27
11,28
11,30
11,31
11,34
11,36
11,38
11,45
11,46
11,47
11,48
11,50
11,54
12,8
12,9
12,10
12,11
12,13
12,14
12,15
12,16
12,17
12,18
12,19
12,20
12,21
12,22
12,23
12,24
12,25
12,26
12,27
12,28
12,30
12,31
12,34
12,36
12,38
12,45
12,46
12,47
12,48
12,50
12,54
13,8
13,10
13,12
13,14
13,15
13,16
13,17
13,18
13,19
13,21
13,22
13,23
13,24
13,25
13,26
13,27
13,28
13,30
13,31
13,34
13,36
13,38
13,45
13,46
13,47
13,48
13,50
13,54
14,8
14,9
14,10
14,12
14,13
14,15
14,16
14,17
14,18
14,19
14,21
14,22
14,23
14,24
14,25
14,26
14,27
14,28
14,29
14,30
14,31
14,33
14,34
14,36
14,38
14,45
14,46
14,47
14,48
14,50
14,54
15,8
15,9
15,10
15,11
15,12
15,13
15,14
15,16
15,17
15,18
15,19
15,20
15,21
15,22
15,23
15,24
15,25
15,26
15,27
15,28
15,29
15,30
15,31
15,32
15,33
15,34
15,35
15,36
15,37
15,38
15,39
15,40
15,41
15,42
15,43
15,44
15,45
15,46
15,47
15,48
15,49
15,50
15,51
15,52
15,53
15,54
15,55
16,8
16,9
16,10
16,11
16,12
16,13
16,14
16,15
16,17
16,18
16,19
16,20
16,21
16,22
16,23
16,24
16,25
16,26
16,27
16,28
16,29
16,30
16,31
16,33
16,34
16,35
16,36
16,37
16,38
16,39
16,40
16,41
16,42
16,44
16,45
16,46
16,47
16,48
16,49
16,50
16,51
16,53
16,54
16,55
17,8
17,9
17,10
17,11
17,12
17,13
17,14
17,15
17,16
17,18
17,19
17,20
17,21
17,22
17,23
17,24
17,25
17,26
17,27
17,28
17,29
17,30
17,31
17,32
17,33
17,34
17,35
17,36
17,37
17,38
17,39
17,40
17,41
17,42
17,43
17,44
17,45
17,46
17,47
17,48
17,49
17,50
17,51
17,52
17,53
17,54
17,55
18,8
18,9
18,10
18,11
18,12
18,13
18,14
18,15
18,16
18,17
18,19
18,20
18,21
18,22
18,23
18,24
18,25
18,26
18,27
18,28
18,30
18,31
18,34
18,36
18,38
18,45
18,46
18,47
18,48
18,50
18,54
19,8
19,9
19,10
19,11
19,12
19,13
19,14
19,15
19,16
19,17
19,18
19,20
19,21
19,22
19,23
19,24
19,25
19,26
19,27
19,28
19,30
19,31
19,34
19,36
19,38
19,45
19,46
19,47
19,48
19,50
19,54
20,8
20,10
20,12
20,15
20,16
20,17
20,18
20,19
20,21
20,22
20,23
20,24
20,25
20,26
20,27
20,28
20,30
20,31
20,34
20,36
20,38
20,45
20,46
20,47
20,48
20,50
20,54
21,8
21,9
21,10
21,11
21,12
21,13
21,14
21,15
21,16
21,17
21,18
21,19
21,20
21,22
21,23
21,24
21,25
21,26
21,27
21,28
21,29
21,30
21,31
21,32
21,33
21,34
21,35
21,36
21,37
21,38
21,39
21,40
21,41
21,42
21,43
